"PIT" "group" "Date.Time" "location" "week" "visit.duration" "leader.follower" "n_visits" "species" "age_in_2020" "season" "degree" "betweenness" "n_species" "flock_size" "species_prop"
"115" "01101775E5" "summer_1474" 200804135123 "Mill2" 14 8.9 "follower" 2 "GRETI" "adult" "summer" 37 28 6 6 1
"116" "01101775EE" "summer_340" 200721124603 "Mill6" 12 3.93333333333333 "leader" 4 "GRETI" "adult" "summer" 11 0 2 2 1
"117" "01101775EE" "summer_1757" 200804152323 "Mill6" 14 0.0166666666666667 "leader" 1 "GRETI" "adult" "summer" 11 0 1 1 1
"118" "01101775EE" "summer_342" 200721125004 "Mill6" 12 1.75 "leader" 2 "GRETI" "adult" "summer" 11 0 2 2 1
"119" "01101775EE" "summer_2063" 200805105054 "Mill6" 14 1.83333333333333 "follower" 2 "GRETI" "adult" "summer" 11 0 2 2 1
"121" "01101775EE" "summer_346" 200721135510 "Mill6" 12 2.81666666666667 "follower" 1 "GRETI" "adult" "summer" 11 0 5 5 1
"122" "01101775EE" "summer_671" 200722125743 "Mill6" 12 2.26666666666667 "leader" 1 "GRETI" "adult" "summer" 11 0 2 2 1
"123" "01101775EE" "summer_1751" 200804153530 "Mill6" 14 1.8 "follower" 2 "GRETI" "adult" "summer" 11 0 3 3 1
"124" "01101775EE" "summer_2080" 200805104911 "Mill6" 14 9.28333333333333 "follower" 2 "GRETI" "adult" "summer" 11 0 5 5 1
"125" "01101775EE" "summer_365" 200721140155 "Mill6" 12 1.95 "follower" 1 "GRETI" "adult" "summer" 11 0 2 2 1
"126" "01101775EE" "summer_338" 200721131915 "Mill6" 12 3.78333333333333 "leader" 1 "GRETI" "adult" "summer" 11 0 2 2 1
"128" "01101775EE" "summer_335" 200721124601 "Mill6" 12 0.0166666666666667 "leader" 1 "GRETI" "adult" "summer" 11 0 1 1 1
"129" "01101775EE" "summer_333" 200721124437 "Mill6" 12 1.95 "follower" 1 "GRETI" "adult" "summer" 11 0 2 2 1
"131" "01101775EE" "summer_1746" 200804135008 "Mill6" 14 6.56666666666667 "follower" 1 "GRETI" "adult" "summer" 11 0 2 2 1
"132" "01101775EE" "summer_677" 200722155353 "Mill6" 12 1.05 "follower" 1 "GRETI" "adult" "summer" 11 0 4 4 1
"133" "01101775EE" "summer_351" 200721142103 "Mill6" 12 0.566666666666667 "leader" 2 "GRETI" "adult" "summer" 11 0 1 1 1
"134" "01101775EE" "summer_2061" 200805094529 "Mill6" 14 3.65 "leader" 1 "GRETI" "adult" "summer" 11 0 2 2 1
"135" "01101775EE" "summer_1733" 200804110035 "Mill6" 14 2.6 "leader" 1 "GRETI" "adult" "summer" 11 0 3 3 1
"136" "01101775EE" "summer_1744" 200804153411 "Mill6" 14 0.416666666666667 "follower" 1 "GRETI" "adult" "summer" 11 0 2 2 1
"137" "01101775EE" "summer_344" 200721141947 "Mill6" 12 1.71666666666667 "follower" 2 "GRETI" "adult" "summer" 11 0 3 3 1
"139" "01101778D1" "summer_496" 200722102259 "Mill2" 12 7.81666666666667 "follower" 2 "GRETI" "adult" "summer" 58 12 7 8 0.875
"140" "01101778D1" "summer_1486" 200804141637 "Mill2" 14 15.9333333333333 "follower" 3 "GRETI" "adult" "summer" 58 12 11 15 0.733333333333333
"141" "01101778D1" "summer_763" 200728172802 "Mill2" 13 7.75 "leader" 1 "GRETI" "adult" "summer" 58 12 3 3 1
"142" "01101778D1" "summer_72" 200721150021 "Mill2" 12 5.15 "leader" 1 "GRETI" "adult" "summer" 58 12 6 7 0.857142857142857
"143" "01101778D1" "summer_176" 200721165814 "Mill2" 12 1.5 "leader" 1 "GRETI" "adult" "summer" 58 12 3 3 1
"144" "01101778D1" "summer_817" 200728132412 "Mill2" 13 2.91666666666667 "follower" 2 "GRETI" "adult" "summer" 58 12 4 4 1
"145" "01101778D1" "summer_1924" 200805161448 "Mill2" 14 4.83333333333333 "follower" 1 "GRETI" "adult" "summer" 58 12 8 8 1
